#     til       Mil       Ril       Lil       Til      Sion       Slyw
#
2.010e+04 2.010e+00 1.368e+00 2.474e+00 3.696e+00 3.679e+01 3.899e+01
2.908e+04 2.908e+00 1.145e+00 2.128e+00 3.721e+00 3.714e+01 3.926e+01
4.645e+04 4.645e+00 1.147e+00 2.228e+00 3.745e+00 3.786e+01 3.983e+01
4.713e+04 4.713e+00 1.193e+00 2.332e+00 3.748e+00 3.806e+01 4.000e+01
4.741e+04 4.741e+00 1.238e+00 2.434e+00 3.752e+00 3.816e+01 4.017e+01
4.753e+04 4.753e+00 1.282e+00 2.538e+00 3.756e+00 3.836e+01 4.033e+01
4.763e+04 4.763e+00 1.298e+00 2.649e+00 3.775e+00 3.900e+01 4.085e+01
4.797e+04 4.797e+00 1.335e+00 2.754e+00 3.783e+00 3.927e+01 4.106e+01
4.862e+04 4.862e+00 1.366e+00 2.854e+00 3.793e+00 3.961e+01 4.132e+01
4.993e+04 4.993e+00 1.377e+00 2.955e+00 3.812e+00 4.007e+01 4.176e+01
5.167e+04 5.167e+00 1.370e+00 3.042e+00 3.838e+00 4.069e+01 4.228e+01
5.350e+04 5.350e+00 1.355e+00 3.112e+00 3.863e+00 4.123e+01 4.273e+01
5.534e+04 5.534e+00 1.334e+00 3.173e+00 3.888e+00 4.176e+01 4.316e+01
5.720e+04 5.720e+00 1.311e+00 3.228e+00 3.913e+00 4.223e+01 4.354e+01
5.907e+04 5.907e+00 1.286e+00 3.280e+00 3.939e+00 4.268e+01 4.390e+01
6.094e+04 6.094e+00 1.260e+00 3.330e+00 3.964e+00 4.312e+01 4.424e+01
6.281e+04 6.281e+00 1.234e+00 3.378e+00 3.989e+00 4.351e+01 4.454e+01
6.470e+04 6.470e+00 1.207e+00 3.424e+00 4.014e+00 4.386e+01 4.483e+01
6.661e+04 6.661e+00 1.180e+00 3.470e+00 4.040e+00 4.422e+01 4.510e+01
6.856e+04 6.856e+00 1.152e+00 3.515e+00 4.065e+00 4.454e+01 4.536e+01
7.055e+04 7.055e+00 1.123e+00 3.559e+00 4.090e+00 4.484e+01 4.560e+01
7.261e+04 7.261e+00 1.094e+00 3.603e+00 4.116e+00 4.513e+01 4.581e+01
7.472e+04 7.472e+00 1.064e+00 3.646e+00 4.141e+00 4.539e+01 4.602e+01
7.684e+04 7.684e+00 1.035e+00 3.687e+00 4.166e+00 4.564e+01 4.620e+01
7.908e+04 7.908e+00 1.005e+00 3.728e+00 4.192e+00 4.588e+01 4.638e+01
8.133e+04 8.133e+00 9.747e-01 3.769e+00 4.217e+00 4.609e+01 4.654e+01
8.370e+04 8.370e+00 9.442e-01 3.809e+00 4.242e+00 4.629e+01 4.669e+01
8.611e+04 8.611e+00 9.137e-01 3.849e+00 4.267e+00 4.649e+01 4.683e+01
8.865e+04 8.865e+00 8.830e-01 3.888e+00 4.293e+00 4.666e+01 4.696e+01
9.128e+04 9.128e+00 8.521e-01 3.929e+00 4.318e+00 4.683e+01 4.707e+01
9.399e+04 9.399e+00 8.211e-01 3.968e+00 4.343e+00 4.699e+01 4.717e+01
9.678e+04 9.678e+00 7.904e-01 4.007e+00 4.369e+00 4.713e+01 4.727e+01
9.969e+04 9.969e+00 7.595e-01 4.046e+00 4.394e+00 4.727e+01 4.736e+01
1.027e+05 1.027e+01 7.279e-01 4.084e+00 4.419e+00 4.739e+01 4.744e+01
1.059e+05 1.059e+01 6.964e-01 4.121e+00 4.444e+00 4.751e+01 4.751e+01
1.094e+05 1.094e+01 6.643e-01 4.158e+00 4.469e+00 4.762e+01 4.757e+01
1.131e+05 1.131e+01 6.324e-01 4.196e+00 4.495e+00 4.772e+01 4.763e+01
1.169e+05 1.169e+01 6.020e-01 4.236e+00 4.520e+00 4.782e+01 4.768e+01
1.208e+05 1.208e+01 5.729e-01 4.278e+00 4.545e+00 4.791e+01 4.773e+01
1.248e+05 1.248e+01 5.452e-01 4.324e+00 4.570e+00 4.800e+01 4.777e+01
1.289e+05 1.289e+01 5.185e-01 4.371e+00 4.596e+00 4.809e+01 4.781e+01
1.330e+05 1.330e+01 4.913e-01 4.417e+00 4.621e+00 4.817e+01 4.785e+01
1.372e+05 1.372e+01 4.627e-01 4.461e+00 4.646e+00 4.825e+01 4.788e+01
1.416e+05 1.416e+01 4.321e-01 4.501e+00 4.671e+00 4.831e+01 4.790e+01
1.463e+05 1.463e+01 4.008e-01 4.540e+00 4.697e+00 4.837e+01 4.792e+01
1.514e+05 1.514e+01 3.692e-01 4.578e+00 4.722e+00 4.843e+01 4.793e+01
1.568e+05 1.568e+01 3.378e-01 4.615e+00 4.747e+00 4.848e+01 4.794e+01
1.630e+05 1.630e+01 3.063e-01 4.653e+00 4.772e+00 4.853e+01 4.795e+01
1.700e+05 1.700e+01 2.747e-01 4.690e+00 4.797e+00 4.857e+01 4.795e+01
1.796e+05 1.796e+01 2.425e-01 4.726e+00 4.822e+00 4.861e+01 4.795e+01
2.153e+05 2.153e+01 2.948e-01 4.826e+00 4.821e+00 4.871e+01 4.805e+01
2.497e+05 2.497e+01 3.030e-01 4.927e+00 4.842e+00 4.882e+01 4.812e+01
2.756e+05 2.756e+01 3.126e-01 5.027e+00 4.862e+00 4.892e+01 4.818e+01
3.052e+05 3.052e+01 3.352e-01 5.127e+00 4.876e+00 4.902e+01 4.826e+01
3.390e+05 3.390e+01 3.622e-01 5.227e+00 4.888e+00 4.912e+01 4.834e+01
3.773e+05 3.773e+01 3.911e-01 5.328e+00 4.898e+00 4.922e+01 4.842e+01
4.211e+05 4.211e+01 4.214e-01 5.428e+00 4.908e+00 4.931e+01 4.850e+01
4.711e+05 4.711e+01 4.522e-01 5.528e+00 4.918e+00 4.941e+01 4.858e+01
5.290e+05 5.290e+01 4.824e-01 5.628e+00 4.928e+00 4.951e+01 4.866e+01
5.964e+05 5.964e+01 5.129e-01 5.728e+00 4.938e+00 4.961e+01 4.874e+01
6.758e+05 6.758e+01 5.441e-01 5.828e+00 4.947e+00 4.971e+01 4.883e+01
7.682e+05 7.682e+01 5.788e-01 5.928e+00 4.955e+00 4.980e+01 4.891e+01
