#     til       Mil       Ril       Lil       Til      Sion       Slyw
#
5.121e+05 5.121e+00 5.314e-01 3.129e+00 4.279e+00 4.582e+01 4.615e+01
5.244e+05 5.244e+00 4.977e-01 3.162e+00 4.304e+00 4.599e+01 4.626e+01
5.379e+05 5.379e+00 4.629e-01 3.195e+00 4.329e+00 4.615e+01 4.637e+01
5.521e+05 5.521e+00 4.289e-01 3.228e+00 4.355e+00 4.629e+01 4.646e+01
5.670e+05 5.670e+00 3.964e-01 3.264e+00 4.380e+00 4.643e+01 4.655e+01
5.820e+05 5.820e+00 3.667e-01 3.305e+00 4.405e+00 4.657e+01 4.664e+01
5.974e+05 5.974e+00 3.384e-01 3.350e+00 4.430e+00 4.669e+01 4.672e+01
6.132e+05 6.132e+00 3.100e-01 3.396e+00 4.456e+00 4.682e+01 4.679e+01
6.296e+05 6.296e+00 2.807e-01 3.438e+00 4.481e+00 4.693e+01 4.686e+01
6.472e+05 6.472e+00 2.498e-01 3.477e+00 4.506e+00 4.703e+01 4.691e+01
6.673e+05 6.673e+00 2.156e-01 3.510e+00 4.532e+00 4.712e+01 4.695e+01
6.922e+05 6.922e+00 1.787e-01 3.537e+00 4.557e+00 4.719e+01 4.698e+01
7.274e+05 7.274e+00 1.415e-01 3.563e+00 4.582e+00 4.726e+01 4.701e+01
7.886e+05 7.886e+00 1.128e-01 3.606e+00 4.607e+00 4.734e+01 4.705e+01
8.719e+05 8.719e+00 1.138e-01 3.706e+00 4.632e+00 4.747e+01 4.713e+01
9.553e+05 9.553e+00 2.283e-01 3.809e+00 4.600e+00 4.753e+01 4.725e+01
9.712e+05 9.712e+00 2.145e-01 3.883e+00 4.625e+00 4.764e+01 4.732e+01
9.936e+05 9.936e+00 1.865e-01 3.928e+00 4.651e+00 4.772e+01 4.735e+01
1.131e+06 1.131e+01 2.442e-01 4.029e+00 4.647e+00 4.781e+01 4.745e+01
1.146e+06 1.146e+01 2.247e-01 4.091e+00 4.672e+00 4.790e+01 4.749e+01
1.234e+06 1.234e+01 2.210e-01 4.186e+00 4.698e+00 4.802e+01 4.756e+01
1.320e+06 1.320e+01 2.121e-01 4.268e+00 4.723e+00 4.812e+01 4.762e+01
1.450e+06 1.450e+01 2.515e-01 4.369e+00 4.728e+00 4.822e+01 4.771e+01
1.640e+06 1.640e+01 2.418e-01 4.451e+00 4.754e+00 4.832e+01 4.777e+01
1.796e+06 1.796e+01 2.493e-01 4.551e+00 4.775e+00 4.843e+01 4.784e+01
1.959e+06 1.959e+01 2.587e-01 4.652e+00 4.796e+00 4.853e+01 4.791e+01
2.139e+06 2.139e+01 2.697e-01 4.752e+00 4.815e+00 4.864e+01 4.798e+01
2.344e+06 2.344e+01 2.854e-01 4.852e+00 4.832e+00 4.874e+01 4.806e+01
2.572e+06 2.572e+01 3.094e-01 4.952e+00 4.845e+00 4.884e+01 4.813e+01
2.841e+06 2.841e+01 3.337e-01 5.052e+00 4.858e+00 4.894e+01 4.821e+01
3.140e+06 3.140e+01 3.606e-01 5.152e+00 4.870e+00 4.904e+01 4.829e+01
3.478e+06 3.478e+01 3.887e-01 5.252e+00 4.881e+00 4.914e+01 4.838e+01
3.856e+06 3.856e+01 4.184e-01 5.353e+00 4.891e+00 4.924e+01 4.846e+01
4.270e+06 4.270e+01 4.529e-01 5.453e+00 4.899e+00 4.934e+01 4.854e+01
4.711e+06 4.711e+01 4.929e-01 5.553e+00 4.904e+00 4.944e+01 4.863e+01
5.191e+06 5.191e+01 5.368e-01 5.653e+00 4.907e+00 4.954e+01 4.873e+01
5.707e+06 5.707e+01 5.861e-01 5.754e+00 4.907e+00 4.964e+01 4.883e+01
6.210e+06 6.210e+01 6.379e-01 5.854e+00 4.907e+00 4.974e+01 4.893e+01
6.788e+06 6.788e+01 7.066e-01 5.955e+00 4.897e+00 4.984e+01 4.905e+01
7.467e+06 7.467e+01 8.172e-01 6.055e+00 4.867e+00 4.995e+01 4.920e+01
