#     til       Mil       Ril       Lil       Til      Sion       Slyw
#
2.001e+05 2.001e+00 1.367e+00 2.472e+00 3.697e+00 3.679e+01 3.899e+01
2.222e+05 2.222e+00 1.029e+00 1.897e+00 3.722e+00 3.691e+01 3.903e+01
3.032e+05 3.032e+00 8.974e-01 1.733e+00 3.747e+00 3.736e+01 3.934e+01
3.127e+05 3.127e+00 9.402e-01 1.834e+00 3.750e+00 3.756e+01 3.950e+01
3.164e+05 3.164e+00 9.849e-01 1.935e+00 3.753e+00 3.775e+01 3.967e+01
3.180e+05 3.180e+00 1.029e+00 2.038e+00 3.757e+00 3.795e+01 3.989e+01
3.204e+05 3.204e+00 1.072e+00 2.144e+00 3.762e+00 3.815e+01 4.006e+01
3.278e+05 3.278e+00 1.104e+00 2.245e+00 3.771e+00 3.851e+01 4.033e+01
3.398e+05 3.398e+00 1.104e+00 2.345e+00 3.796e+00 3.917e+01 4.091e+01
3.479e+05 3.479e+00 1.082e+00 2.401e+00 3.821e+00 3.973e+01 4.139e+01
3.559e+05 3.559e+00 1.056e+00 2.452e+00 3.847e+00 4.029e+01 4.181e+01
3.640e+05 3.640e+00 1.029e+00 2.501e+00 3.873e+00 4.084e+01 4.226e+01
3.719e+05 3.719e+00 1.002e+00 2.546e+00 3.898e+00 4.132e+01 4.266e+01
3.799e+05 3.799e+00 9.733e-01 2.590e+00 3.923e+00 4.176e+01 4.301e+01
3.881e+05 3.881e+00 9.439e-01 2.634e+00 3.948e+00 4.218e+01 4.337e+01
3.964e+05 3.964e+00 9.139e-01 2.676e+00 3.974e+00 4.260e+01 4.369e+01
4.048e+05 4.048e+00 8.835e-01 2.717e+00 3.999e+00 4.296e+01 4.399e+01
4.134e+05 4.134e+00 8.525e-01 2.757e+00 4.025e+00 4.332e+01 4.426e+01
4.221e+05 4.221e+00 8.210e-01 2.797e+00 4.051e+00 4.365e+01 4.453e+01
4.311e+05 4.311e+00 7.892e-01 2.836e+00 4.076e+00 4.397e+01 4.476e+01
4.402e+05 4.402e+00 7.576e-01 2.874e+00 4.102e+00 4.426e+01 4.499e+01
4.495e+05 4.495e+00 7.262e-01 2.911e+00 4.127e+00 4.453e+01 4.520e+01
4.592e+05 4.592e+00 6.944e-01 2.949e+00 4.152e+00 4.478e+01 4.539e+01
4.692e+05 4.692e+00 6.624e-01 2.986e+00 4.177e+00 4.502e+01 4.556e+01
4.795e+05 4.795e+00 6.300e-01 3.023e+00 4.203e+00 4.524e+01 4.573e+01
4.900e+05 4.900e+00 5.975e-01 3.059e+00 4.228e+00 4.546e+01 4.588e+01
5.008e+05 5.008e+00 5.647e-01 3.095e+00 4.253e+00 4.565e+01 4.602e+01
