#     til       Mil       Ril       Lil       Til      Sion       Slyw
#
2.010e+03 2.010e+00 1.368e+00 2.474e+00 3.696e+00 3.679e+01 3.899e+01
3.672e+03 3.672e+00 1.239e+00 2.316e+00 3.721e+00 3.733e+01 3.945e+01
6.607e+03 6.607e+00 1.186e+00 2.309e+00 3.746e+00 3.794e+01 3.991e+01
7.180e+03 7.180e+00 1.227e+00 2.410e+00 3.751e+00 3.813e+01 4.014e+01
7.323e+03 7.323e+00 1.270e+00 2.513e+00 3.755e+00 3.833e+01 4.031e+01
7.340e+03 7.340e+00 1.311e+00 2.635e+00 3.765e+00 3.873e+01 4.061e+01
7.348e+03 7.348e+00 1.343e+00 2.752e+00 3.778e+00 3.919e+01 4.101e+01
7.357e+03 7.357e+00 1.356e+00 2.853e+00 3.797e+00 3.968e+01 4.142e+01
7.369e+03 7.369e+00 1.368e+00 2.966e+00 3.820e+00 4.030e+01 4.191e+01
7.384e+03 7.384e+00 1.380e+00 3.073e+00 3.840e+00 4.079e+01 4.235e+01
7.405e+03 7.405e+00 1.393e+00 3.181e+00 3.861e+00 4.130e+01 4.276e+01
7.436e+03 7.436e+00 1.408e+00 3.290e+00 3.881e+00 4.173e+01 4.315e+01
7.479e+03 7.479e+00 1.424e+00 3.393e+00 3.899e+00 4.217e+01 4.350e+01
7.546e+03 7.546e+00 1.442e+00 3.496e+00 3.915e+00 4.254e+01 4.384e+01
7.657e+03 7.657e+00 1.462e+00 3.602e+00 3.932e+00 4.289e+01 4.412e+01
7.828e+03 7.828e+00 1.481e+00 3.703e+00 3.947e+00 4.325e+01 4.442e+01
8.097e+03 8.097e+00 1.497e+00 3.805e+00 3.965e+00 4.360e+01 4.472e+01
8.493e+03 8.493e+00 1.503e+00 3.905e+00 3.987e+00 4.398e+01 4.503e+01
8.972e+03 8.972e+00 1.498e+00 3.995e+00 4.012e+00 4.440e+01 4.539e+01
9.458e+03 9.458e+00 1.484e+00 4.068e+00 4.037e+00 4.477e+01 4.569e+01
9.939e+03 9.939e+00 1.466e+00 4.133e+00 4.062e+00 4.512e+01 4.595e+01
1.043e+04 1.043e+01 1.446e+00 4.192e+00 4.087e+00 4.544e+01 4.621e+01
1.092e+04 1.092e+01 1.424e+00 4.248e+00 4.112e+00 4.573e+01 4.645e+01
1.143e+04 1.143e+01 1.400e+00 4.302e+00 4.137e+00 4.602e+01 4.665e+01
1.194e+04 1.194e+01 1.376e+00 4.355e+00 4.163e+00 4.627e+01 4.685e+01
1.247e+04 1.247e+01 1.351e+00 4.406e+00 4.188e+00 4.652e+01 4.705e+01
1.302e+04 1.302e+01 1.325e+00 4.455e+00 4.213e+00 4.675e+01 4.721e+01
1.357e+04 1.357e+01 1.299e+00 4.503e+00 4.238e+00 4.697e+01 4.737e+01
1.414e+04 1.414e+01 1.272e+00 4.551e+00 4.264e+00 4.717e+01 4.752e+01
1.473e+04 1.473e+01 1.244e+00 4.597e+00 4.289e+00 4.735e+01 4.765e+01
1.534e+04 1.534e+01 1.217e+00 4.642e+00 4.314e+00 4.752e+01 4.777e+01
1.596e+04 1.596e+01 1.189e+00 4.686e+00 4.339e+00 4.768e+01 4.789e+01
1.662e+04 1.662e+01 1.160e+00 4.730e+00 4.365e+00 4.783e+01 4.799e+01
1.731e+04 1.731e+01 1.131e+00 4.774e+00 4.390e+00 4.798e+01 4.808e+01
1.803e+04 1.803e+01 1.102e+00 4.818e+00 4.416e+00 4.811e+01 4.817e+01
1.878e+04 1.878e+01 1.073e+00 4.861e+00 4.441e+00 4.824e+01 4.824e+01
1.956e+04 1.956e+01 1.043e+00 4.904e+00 4.466e+00 4.836e+01 4.831e+01
2.036e+04 2.036e+01 1.014e+00 4.947e+00 4.492e+00 4.846e+01 4.837e+01
2.121e+04 2.121e+01 9.848e-01 4.989e+00 4.517e+00 4.856e+01 4.843e+01
2.212e+04 2.212e+01 9.548e-01 5.030e+00 4.542e+00 4.866e+01 4.847e+01
2.307e+04 2.307e+01 9.244e-01 5.072e+00 4.568e+00 4.875e+01 4.852e+01
2.407e+04 2.407e+01 8.949e-01 5.113e+00 4.593e+00 4.883e+01 4.856e+01
2.512e+04 2.512e+01 8.653e-01 5.154e+00 4.618e+00 4.890e+01 4.859e+01
2.622e+04 2.622e+01 8.358e-01 5.196e+00 4.643e+00 4.898e+01 4.862e+01
2.738e+04 2.738e+01 8.068e-01 5.239e+00 4.668e+00 4.905e+01 4.864e+01
2.860e+04 2.860e+01 7.781e-01 5.282e+00 4.694e+00 4.911e+01 4.867e+01
2.988e+04 2.988e+01 7.504e-01 5.328e+00 4.719e+00 4.918e+01 4.869e+01
3.120e+04 3.120e+01 7.232e-01 5.375e+00 4.744e+00 4.924e+01 4.870e+01
