#     til       Mil       Ril       Lil       Til      Sion       Slyw
#
3.258e+04 3.258e+01 6.960e-01 5.420e+00 4.769e+00 4.929e+01 4.872e+01
3.403e+04 3.403e+01 6.686e-01 5.466e+00 4.794e+00 4.935e+01 4.873e+01
3.557e+04 3.557e+01 6.411e-01 5.511e+00 4.819e+00 4.940e+01 4.874e+01
3.721e+04 3.721e+01 6.138e-01 5.557e+00 4.844e+00 4.945e+01 4.874e+01
3.899e+04 3.899e+01 5.866e-01 5.603e+00 4.870e+00 4.949e+01 4.874e+01
4.094e+04 4.094e+01 5.591e-01 5.649e+00 4.895e+00 4.954e+01 4.875e+01
4.543e+04 4.543e+01 5.374e-01 5.705e+00 4.920e+00 4.959e+01 4.876e+01
5.472e+04 5.472e+01 5.057e-01 5.742e+00 4.945e+00 4.962e+01 4.874e+01
6.636e+04 6.636e+01 5.357e-01 5.842e+00 4.955e+00 4.972e+01 4.883e+01
7.631e+04 7.631e+01 5.691e-01 5.942e+00 4.963e+00 4.982e+01 4.891e+01
