#     til       Mil       Ril       Lil       Til      Sion       Slyw
#
6.677e+04 2.003e+00 1.367e+00 2.472e+00 3.696e+00 3.679e+01 3.899e+01
8.257e+04 2.477e+00 1.075e+00 1.989e+00 3.721e+00 3.700e+01 3.912e+01
1.236e+05 3.707e+00 1.023e+00 1.983e+00 3.747e+00 3.761e+01 3.959e+01
1.260e+05 3.780e+00 1.068e+00 2.083e+00 3.749e+00 3.781e+01 3.975e+01
1.269e+05 3.808e+00 1.112e+00 2.183e+00 3.752e+00 3.791e+01 3.992e+01
1.274e+05 3.822e+00 1.157e+00 2.289e+00 3.756e+00 3.811e+01 4.008e+01
1.280e+05 3.839e+00 1.199e+00 2.391e+00 3.760e+00 3.839e+01 4.024e+01
1.298e+05 3.894e+00 1.235e+00 2.494e+00 3.768e+00 3.867e+01 4.052e+01
1.336e+05 4.009e+00 1.247e+00 2.595e+00 3.787e+00 3.919e+01 4.101e+01
1.377e+05 4.131e+00 1.234e+00 2.670e+00 3.812e+00 3.979e+01 4.148e+01
1.417e+05 4.251e+00 1.214e+00 2.731e+00 3.838e+00 4.038e+01 4.197e+01
1.456e+05 4.369e+00 1.191e+00 2.785e+00 3.863e+00 4.091e+01 4.241e+01
1.496e+05 4.487e+00 1.166e+00 2.836e+00 3.888e+00 4.142e+01 4.279e+01
1.536e+05 4.608e+00 1.140e+00 2.885e+00 3.913e+00 4.188e+01 4.320e+01
1.576e+05 4.729e+00 1.113e+00 2.933e+00 3.939e+00 4.233e+01 4.355e+01
1.617e+05 4.852e+00 1.085e+00 2.979e+00 3.964e+00 4.277e+01 4.389e+01
1.658e+05 4.975e+00 1.056e+00 3.024e+00 3.990e+00 4.316e+01 4.419e+01
1.700e+05 5.100e+00 1.027e+00 3.068e+00 4.015e+00 4.353e+01 4.449e+01
1.742e+05 5.226e+00 9.977e-01 3.111e+00 4.041e+00 4.386e+01 4.476e+01
1.785e+05 5.354e+00 9.681e-01 3.152e+00 4.066e+00 4.417e+01 4.501e+01
1.828e+05 5.484e+00 9.381e-01 3.193e+00 4.091e+00 4.448e+01 4.524e+01
1.873e+05 5.619e+00 9.075e-01 3.233e+00 4.116e+00 4.476e+01 4.546e+01
1.919e+05 5.756e+00 8.770e-01 3.272e+00 4.141e+00 4.503e+01 4.564e+01
1.966e+05 5.897e+00 8.464e-01 3.311e+00 4.166e+00 4.526e+01 4.583e+01
2.014e+05 6.043e+00 8.154e-01 3.349e+00 4.192e+00 4.549e+01 4.601e+01
2.065e+05 6.195e+00 7.840e-01 3.388e+00 4.217e+00 4.571e+01 4.616e+01
2.117e+05 6.352e+00 7.527e-01 3.426e+00 4.242e+00 4.591e+01 4.631e+01
2.171e+05 6.512e+00 7.216e-01 3.464e+00 4.267e+00 4.609e+01 4.645e+01
2.226e+05 6.678e+00 6.902e-01 3.501e+00 4.292e+00 4.627e+01 4.657e+01
2.283e+05 6.850e+00 6.581e-01 3.539e+00 4.318e+00 4.644e+01 4.668e+01
2.343e+05 7.028e+00 6.258e-01 3.575e+00 4.343e+00 4.659e+01 4.678e+01
2.408e+05 7.225e+00 5.927e-01 3.611e+00 4.368e+00 4.674e+01 4.688e+01
2.477e+05 7.432e+00 5.599e-01 3.646e+00 4.394e+00 4.687e+01 4.696e+01
