#     til       Mil       Ril       Lil       Til      Sion       Slyw
#
2.550e+05 7.649e+00 5.276e-01 3.682e+00 4.419e+00 4.699e+01 4.703e+01
2.627e+05 7.880e+00 4.958e-01 3.720e+00 4.444e+00 4.710e+01 4.711e+01
2.706e+05 8.119e+00 4.659e-01 3.762e+00 4.469e+00 4.722e+01 4.717e+01
2.786e+05 8.358e+00 4.379e-01 3.807e+00 4.495e+00 4.733e+01 4.724e+01
2.865e+05 8.596e+00 4.109e-01 3.853e+00 4.520e+00 4.744e+01 4.729e+01
2.948e+05 8.844e+00 3.828e-01 3.899e+00 4.545e+00 4.753e+01 4.735e+01
3.032e+05 9.097e+00 3.538e-01 3.942e+00 4.570e+00 4.762e+01 4.739e+01
3.123e+05 9.370e+00 3.221e-01 3.979e+00 4.596e+00 4.770e+01 4.742e+01
3.222e+05 9.667e+00 2.891e-01 4.014e+00 4.621e+00 4.777e+01 4.745e+01
3.334e+05 1.000e+01 2.557e-01 4.048e+00 4.646e+00 4.783e+01 4.747e+01
3.467e+05 1.040e+01 2.220e-01 4.081e+00 4.671e+00 4.789e+01 4.748e+01
3.647e+05 1.094e+01 1.880e-01 4.113e+00 4.696e+00 4.794e+01 4.749e+01
4.200e+05 1.260e+01 2.397e-01 4.215e+00 4.696e+00 4.805e+01 4.760e+01
4.342e+05 1.303e+01 2.178e-01 4.272e+00 4.721e+00 4.812e+01 4.763e+01
4.842e+05 1.453e+01 2.666e-01 4.373e+00 4.722e+00 4.822e+01 4.773e+01
4.958e+05 1.488e+01 2.424e-01 4.425e+00 4.747e+00 4.829e+01 4.775e+01
5.540e+05 1.662e+01 2.551e-01 4.526e+00 4.766e+00 4.840e+01 4.783e+01
6.419e+05 1.926e+01 2.627e-01 4.626e+00 4.787e+00 4.851e+01 4.790e+01
6.976e+05 2.093e+01 2.703e-01 4.727e+00 4.809e+00 4.861e+01 4.797e+01
7.648e+05 2.294e+01 2.816e-01 4.827e+00 4.828e+00 4.872e+01 4.804e+01
8.415e+05 2.524e+01 2.974e-01 4.927e+00 4.845e+00 4.882e+01 4.811e+01
9.277e+05 2.783e+01 3.189e-01 5.027e+00 4.859e+00 4.892e+01 4.819e+01
1.025e+06 3.075e+01 3.445e-01 5.128e+00 4.872e+00 4.902e+01 4.827e+01
1.137e+06 3.410e+01 3.712e-01 5.228e+00 4.883e+00 4.912e+01 4.835e+01
1.263e+06 3.790e+01 3.980e-01 5.328e+00 4.895e+00 4.922e+01 4.842e+01
1.408e+06 4.223e+01 4.261e-01 5.428e+00 4.906e+00 4.932e+01 4.850e+01
1.574e+06 4.723e+01 4.571e-01 5.528e+00 4.915e+00 4.941e+01 4.859e+01
1.764e+06 5.292e+01 4.884e-01 5.628e+00 4.925e+00 4.951e+01 4.867e+01
1.985e+06 5.956e+01 5.221e-01 5.728e+00 4.933e+00 4.961e+01 4.876e+01
2.234e+06 6.702e+01 5.598e-01 5.828e+00 4.939e+00 4.971e+01 4.884e+01
2.508e+06 7.525e+01 6.014e-01 5.928e+00 4.943e+00 4.981e+01 4.893e+01
